year,collection_round,sub_basin,Total
2018,2,Jejubukhae,20
2018,2,Samcheokosipcheon,145
2018,2,Yeosusi,94
2018,2,Juamdaem,224
2018,2,Cheongpyeongdaem,187
2018,2,Geumgang_Hagueon,147
2018,2,Yeongsangang_Jungryu(juksanbo),153
2018,2,Hapcheondaem,178
2018,2,Geumgang_Seohae,233
2018,2,Hangang_Seohae,134
2018,2,Jiseokcheon,211
2018,2,Nakdongchangnyeong,173
2018,2,Yocheon,169
2018,2,Nakdongsangju,82
2018,2,Jindo,201
2018,2,Sinangun,10
2018,2,Hongcheongang,220
2018,2,Mangyeonggang,266
2018,2,Yeonggang,137
2018,2,Nakdonggang_Namhae,296
2018,2,Namgangdaem,234
2018,2,Chuncheondaem,210
2018,2,Andongdaem,121
2018,2,Nakdongmilyang,182
2018,2,Chungjudaemharyu,103
2018,2,Daecheongdaemsangryu,88
2018,2,Wicheon,187
2018,2,Gyeongancheon,190
2018,2,Chogang,134
2018,2,Boseonggang,163
2018,2,Hoeyagang,146
2018,2,Wangpicheon,312
2018,2,Sueocheon,279
2018,2,Yeongdeokosipcheon,210
2018,2,Imhadaem,166
2018,2,Taehwagang,144
2018,2,Seomjingang_Daem,205
2018,2,Paldangdaem,58
2018,2,Hwangryonggang,210
2018,2,Gumibo(nakdonggumi),136
2018,2,Seomjingang_Daemharyu,138
2018,2,Yangyang_Namdaecheon,340
2018,2,Nakdonggang_Hagueon,181
2018,2,Yeongdongcheon,153
2018,2,Andongdaemharyu,175
2018,2,Milyanggang,213
2018,2,Yongdamdaemharyu,88
2018,2,Namhangangsangryu,120
2018,2,Yongdamdaem,158
2018,2,Wando,176
2018,2,Seomgang,97
2018,2,Pyeonghwauidaem,52
2018,2,Osucheon,181
2018,2,Bunam_Seawall,44
2018,2,Daecheongdaemharyu,61
2018,2,Dalcheon,152
2018,2,Bocheongcheon,126
2019,1,Hangang_Goyang,176
2019,1,Hyeongsangang,244
2019,1,Suyeonggang,244
2019,1,Saemangeum(jiksocheon),142
2019,1,Gangjeonggoryeongbo(nakdongwaegwan),169
2019,1,Namgang,151
2019,1,Seomjingokseong,143
2019,1,Geumhogang,261
2019,1,Gapcheon,151
2019,1,Yeongsangang_Hagueon,41
2019,1,Changnyeonghapcheonbo(nakdonggoryeong),129
2019,1,Gamcheon,78
2019,1,Soyanggang,199
2019,1,Namhaedo,243
2019,1,Geumsanmyeon,91
2019,1,Tamjingang,189
2019,1,Watancheon,239
2019,1,Daeho_Seawall,69
2019,1,Yeongsangang_Sangryu,199
